dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,nan_rate,runtime_sec,timestamp
pima,CWAE-MMD-Huber,123,768,4,4,0.7282608695652174,0.6188059701492536,0.8160545078519302,0.0,1.8360419273376465,2026-02-02T23:48:09.868335
pima,CWAE-MMD-DIF-Dual,123,768,4,4,0.7282608695652174,0.646044776119403,0.7965728414596644,0.0,4.07439661026001,2026-02-02T23:48:13.951126
pima,CWAE-MMD-IF-Dual,123,768,4,4,0.7282608695652174,0.641902985074627,0.7987600576719721,0.0,2.181222438812256,2026-02-02T23:48:16.145377
pima,CWAE-MMD-IF-Latent,123,768,4,4,0.7282608695652174,0.5894776119402986,0.7609619835087331,0.0,1.8107426166534424,2026-02-02T23:48:17.965876
pima,IF,456,768,4,4,0.7282608695652174,0.6329477611940298,0.7929182588310829,0.0,0.1889674663543701,2026-02-02T23:48:18.162705
pima,IF-concat,456,768,4,4,0.7282608695652174,0.6866044776119402,0.8214536159949901,0.0,0.1719586849212646,2026-02-02T23:48:18.341581
pima,DIF,456,768,4,4,0.7282608695652174,0.6727238805970149,0.8125111193352001,0.0,1.2517788410186768,2026-02-02T23:48:19.601106
pima,CVAE,456,768,4,4,0.7282608695652174,0.6758582089552239,0.8120034518047893,0.0,1.131448745727539,2026-02-02T23:48:20.742901
pima,CWAE-MMD-IF,456,768,4,4,0.7282608695652174,0.634981343283582,0.8014772945901351,0.0,2.0975327491760254,2026-02-02T23:48:22.851810
pima,CWAE-MMD-CRPS,456,768,4,4,0.7282608695652174,0.6425373134328358,0.8089666368752525,0.0,2.0662264823913574,2026-02-02T23:48:24.928352
pima,CWAE-MMD-Huber,456,768,4,4,0.7282608695652174,0.6269402985074628,0.8017779021983112,0.0,2.1105144023895264,2026-02-02T23:48:27.048441
pima,CWAE-MMD-DIF-Dual,456,768,4,4,0.7282608695652174,0.6511567164179105,0.8084676599901552,0.0,4.241748571395874,2026-02-02T23:48:31.300740
pima,CWAE-MMD-IF-Dual,456,768,4,4,0.7282608695652174,0.6477798507462686,0.7980919392929482,0.0,2.9418084621429443,2026-02-02T23:48:34.258433
pima,CWAE-MMD-IF-Latent,456,768,4,4,0.7282608695652174,0.5748507462686567,0.7670698375844156,0.0,2.3511533737182617,2026-02-02T23:48:36.621738
wbc,IF,42,378,15,15,0.2282608695652173,0.9456740442655936,0.8714400865749066,0.0,0.2061638832092285,2026-02-02T23:48:36.836912
wbc,IF-concat,42,378,15,15,0.2282608695652173,0.9463447350771296,0.8862704467967628,0.0,0.1783175468444824,2026-02-02T23:48:37.022352
wbc,DIF,42,378,15,15,0.2282608695652173,0.9416498993963782,0.8683946831990097,0.0,1.2136220932006836,2026-02-02T23:48:38.244032
wbc,CVAE,42,378,15,15,0.2282608695652173,0.9564050972501676,0.9263244135076408,0.0,0.8865587711334229,2026-02-02T23:48:39.142306
wbc,CWAE-MMD-IF,42,378,15,15,0.2282608695652173,0.9711602951039572,0.935498826048899,0.0,1.957457065582276,2026-02-02T23:48:41.109624
wbc,CWAE-MMD-CRPS,42,378,15,15,0.2282608695652173,0.97719651240778,0.9587731956153008,0.0,1.8933112621307373,2026-02-02T23:48:43.015892
wbc,CWAE-MMD-Huber,42,378,15,15,0.2282608695652173,0.9590878604963112,0.9400586160390084,0.0,1.899462938308716,2026-02-02T23:48:44.926325
wbc,CWAE-MMD-DIF-Dual,42,378,15,15,0.2282608695652173,0.9443326626425216,0.908354814846396,0.0,4.251458168029785,2026-02-02T23:48:49.188095
wbc,CWAE-MMD-IF-Dual,42,378,15,15,0.2282608695652173,0.9510395707578806,0.9059230040094244,0.0,2.1089978218078613,2026-02-02T23:48:51.309222
wbc,CWAE-MMD-IF-Latent,42,378,15,15,0.2282608695652173,0.9054325955734406,0.820919637048894,0.0,1.6534504890441897,2026-02-02T23:48:52.972957
wbc,IF,123,378,15,15,0.2282608695652173,0.976525821596244,0.9337572001980872,0.0,0.206310749053955,2026-02-02T23:48:53.189052
wbc,IF-concat,123,378,15,15,0.2282608695652173,0.9691482226693494,0.9124265675551664,0.0,0.1897814273834228,2026-02-02T23:48:53.385458
wbc,DIF,123,378,15,15,0.2282608695652173,0.9631120053655264,0.8829792922131632,0.0,1.2476141452789309,2026-02-02T23:48:54.643021
wbc,CVAE,123,378,15,15,0.2282608695652173,0.9476861167002012,0.8641009879381416,0.0,1.0470004081726074,2026-02-02T23:48:55.701000
wbc,CWAE-MMD-IF,123,378,15,15,0.2282608695652173,0.9792085848423876,0.8932838278736595,0.0,1.9118587970733645,2026-02-02T23:48:57.622734
wbc,CWAE-MMD-CRPS,123,378,15,15,0.2282608695652173,0.9758551307847084,0.863633177690059,0.0,1.7290809154510498,2026-02-02T23:48:59.362865
wbc,CWAE-MMD-Huber,123,378,15,15,0.2282608695652173,0.9725016767270288,0.8774994846423418,0.0,1.927067518234253,2026-02-02T23:49:01.301416
wbc,CWAE-MMD-DIF-Dual,123,378,15,15,0.2282608695652173,0.9758551307847084,0.9096994337120516,0.0,4.096076488494873,2026-02-02T23:49:05.408988
wbc,CWAE-MMD-IF-Dual,123,378,15,15,0.2282608695652173,0.976525821596244,0.9000322624840442,0.0,1.9966938495635984,2026-02-02T23:49:07.419120
wbc,CWAE-MMD-IF-Latent,123,378,15,15,0.2282608695652173,0.9268947015425888,0.8414021506038314,0.0,1.7377500534057615,2026-02-02T23:49:09.166984
wbc,IF,456,378,15,15,0.2282608695652173,0.9758551307847084,0.9456916099773244,0.0,0.2126579284667968,2026-02-02T23:49:09.388638
wbc,IF-concat,456,378,15,15,0.2282608695652173,0.9590878604963112,0.9008778669401616,0.0,0.1789543628692627,2026-02-02T23:49:09.574426
wbc,DIF,456,378,15,15,0.2282608695652173,0.9731723675385648,0.91388768221475,0.0,1.2737178802490234,2026-02-02T23:49:10.856610
